nome_completo,url,estrelas,forks,ultimo_push,linguagem_principal,descricao,arquivos_workflow_sast,nivel_maturidade_sast,sast_ferramentas_detectadas,maturidade_has_cache_config,maturidade_has_pr_trigger,maturidade_has_push_trigger,maturidade_has_fail_fast_or_gate,maturidade_integrates_dependabot_sca
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,190457,74707,2025-06-22T17:03:19Z,C++,An Open Source Machine Learning Framework for Everyone,scorecards-analysis.yml,Baixo,github/codeql-action,False,False,False,False,False
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,176323,45832,2025-06-22T16:37:59Z,Python,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",codeql.yml,Médio,"github/codeql-action, codeql-action/analyze, codeql-action/init, codeql pack",True,False,False,False,False
twbs/bootstrap,https://github.com/twbs/bootstrap,172441,79135,2025-06-22T16:26:36Z,MDX,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",codeql.yml,Baixo,"github/codeql-action, codeql-action/analyze, codeql-action/init",False,False,False,False,False
electron/electron,https://github.com/electron/electron,117213,16154,2025-06-22T13:00:43Z,C++,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",scorecards.yml,Médio,github/codeql-action,True,False,False,False,False
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,116009,9166,2025-06-17T07:45:20Z,Python,A feature-rich command-line audio/video downloader,"codeql.yml, quick-test.yml",Médio,"github/codeql-action, codeql-action/analyze, codeql-action/init, static-analysis",True,False,False,True,False
nodejs/node,https://github.com/nodejs/node,111849,31903,2025-06-22T09:43:35Z,JavaScript,Node.js JavaScript runtime ✨🐢🚀✨,"codeql.yml, scorecard.yml",Médio,"github/codeql-action, codeql-action/analyze, codeql-action/init",True,False,False,False,False
n8n-io/n8n,https://github.com/n8n-io/n8n,110541,31875,2025-06-22T09:34:20Z,TypeScript,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","docker-images-nightly.yml, release-publish.yml, security-trivy-scan-callable.yml",Médio,"aquasecurity/trivy-action, trivy scan, security-scan",True,False,False,False,False
axios/axios,https://github.com/axios/axios,107092,11153,2025-06-15T13:11:02Z,JavaScript,Promise based HTTP client for the browser and node.js,codeql-analysis.yml,Médio,"github/codeql-action, codeql-action/analyze, codeql-action/init",False,False,False,False,True
mrdoob/three.js,https://github.com/mrdoob/three.js,106804,35829,2025-06-22T17:15:16Z,JavaScript,JavaScript 3D Library.,codeql-code-scanning.yml,Baixo,"github/codeql-action, codeql-action/analyze, codeql-action/init",False,False,False,False,False
microsoft/TypeScript,https://github.com/microsoft/TypeScript,105015,12886,2025-06-20T23:19:25Z,TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,"codeql.yml, scorecard.yml",Médio,"github/codeql-action, codeql-action/analyze, codeql-action/init",True,False,False,False,False
angular/angular,https://github.com/angular/angular,98195,26347,2025-06-22T16:14:13Z,TypeScript,Deliver web apps with confidence 🚀,scorecard.yml,Baixo,github/codeql-action,False,True,False,False,False
mui/material-ui,https://github.com/mui/material-ui,95962,32585,2025-06-22T02:28:54Z,TypeScript,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,"codeql.yml, scorecards.yml",Baixo,"github/codeql-action, codeql-action/analyze, codeql-action/init",False,False,False,False,False
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,92089,27050,2025-06-17T00:40:36Z,Java,Design patterns implemented in Java,maven-pr-builder.yml,Médio,"sonar.host.url, sonar.projectKey",True,False,False,False,False
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,90963,9219,2025-06-22T01:20:17Z,TypeScript,JavaScript API for Chrome and Firefox,scorecards-analysis.yml,Médio,github/codeql-action,True,False,False,False,False
pytorch/pytorch,https://github.com/pytorch/pytorch,90957,24494,2025-06-22T16:53:03Z,Python,Tensors and Dynamic neural networks in Python with strong GPU acceleration,scorecards.yml,Médio,github/codeql-action,False,False,False,True,False
neovim/neovim,https://github.com/neovim/neovim,90504,6141,2025-06-22T10:38:01Z,Vim Script,Vim-fork focused on extensibility and usability,codeql.yml,Baixo,"github/codeql-action, codeql-action/analyze, codeql-action/init",False,False,False,False,False
